Framework,256,1024,4096,16384,Best,Cls,Lng,Plt,FE,Aos,DB,Dos,Orm,IA,Errors
snap,72217,65054,48854,39219,72217,Mcr,Hkl,Snp,Non,Lin,My,Lin,Ful,Rea,0
spark,4574,4179,4377,5769,5769,Mcr,Jav,Svt,Res,Lin,My,Lin,Ful,Rea,2397
spray,— Removed at request of framework maintainer - outdated version —,,,,,Mcr,Sca,Spr,Non,Lin,Non,Lin,Raw,Rea,—
spring,86885,86130,86709,86250,86885,Ful,Jav,Svt,Tom,Lin,My,Lin,Ful,Rea,0
start,52997,54888,54612,53478,54888,Mcr,Dar,Dar,ngx,Lin,Pg,Lin,Raw,Rea,0
stream,52014,54160,53394,52930,54160,Mcr,Dar,Dar,ngx,Lin,Pg,Lin,Raw,Rea,0
tornado-py3,80487,80302,77479,75120,80487,Plt,Py,Tor,Non,Lin,Mo,Lin,Raw,Rea,0
tornado-pypy,192795,179891,165591,143901,192795,Plt,Py,Tor,Non,Lin,Mo,Lin,Raw,Rea,0
tornado,98211,98044,94095,90245,98211,Plt,Py,Tor,Non,Lin,Mo,Lin,Raw,Rea,0
treefrog,14772,17545,10817,10899,17545,Ful,C++,Tre,Non,Lin,My,Lin,Mcr,Rea,171
treefrog-thread,98156,295107,312573,310356,312573,Ful,C++,Tre,Non,Lin,My,Lin,Mcr,Rea,260
undertow,4015345,4162894,4155036,4133601,4162894,Plt,Jav,Utw,Non,Lin,Non,Lin,Raw,Rea,95
undertow edge,4116612,4151495,4131652,4128329,4151495,Plt,Jav,Und,Non,Lin,Non,Lin,Raw,Rea,4
ur/web,712499,709099,706882,686967,712499,Ful,Ur,Ur/,Non,Lin,Non,Lin,Mcr,Rea,0
vertx,— Removed at request of framework maintainer - outdated version —,,,,,Plt,Jav,vtx,Non,Lin,Mo,Lin,Raw,Rea,—
wicket,408004,395186,385600,361064,408004,Ful,Jav,Svt,Res,Lin,My,Lin,Ful,Rea,0
wsgi-nginx-uwsgi,80907,92231,82701,82592,92231,Plt,Py,uWS,ngx,Lin,Non,Lin,Raw,Rea,0
wsgi,251501,251365,250702,248984,251501,Plt,Py,Gun,Non,Lin,Non,Lin,Raw,Rea,0
