Framework,1,5,10,15,20,Cls,Lng,Plt,FE,Aos,DB,Dos,Orm,IA,Errors
kelp-raw,— Did not complete —,,,,,,Ful,Prl,Plk,Sta,Lin,My,Lin,Raw,Rea
php-kohana-raw,7091,6411,5920,5361,5031,Ful,PHP,FPM,ngx,Lin,My,Lin,Raw,Rea,0
lapis,22789,1141,2083,1850,1250,Ful,Lua,OpR,ngx,Lin,Pg,Lin,Ful,Rea,2413
laravel-raw,— Did not complete —,,,,,,Ful,PHP,FPM,ngx,Lin,My,Lin,Raw,Rea
lift-stateless,4443,3792,3073,2542,2190,Ful,Sca,Nty,Non,Lin,My,Lin,Ful,Rea,0
lithium,2832,2093,1556,1248,1012,Ful,PHP,FPM,ngx,Lin,My,Lin,Ful,Rea,0
luminus,21172,4944,2484,1823,1285,Mcr,Clj,Svt,Res,Lin,My,Lin,Ful,Rea,0
luminus-raw,27357,5215,2689,1757,1334,Mcr,Clj,Svt,Res,Lin,My,Lin,Raw,Rea,0
micromvc,17025,11663,7604,5698,4592,Mcr,PHP,FPM,ngx,Lin,My,Lin,Raw,Rea,0
mojolicious-raw,— Did not complete —,,,,,,Ful,Prl,Plk,Sta,Lin,My,Lin,Raw,Rea
nancy,0,0,0,0,0,Mcr,C#,Net,IIS,Win,My,Lin,Raw,Rea,114349
nancy,0,0,0,0,0,Mcr,C#,Mon,ngx,Lin,My,Lin,Raw,Rea,9866
nancy-libevent2,0,0,0,0,0,Mcr,C#,Mon,ngx,Lin,My,Lin,Raw,Rea,80812
ninja-standalone,30277,26420,20023,13746,10412,Ful,Jav,Jty,Jty,Lin,My,Lin,Ful,Rea,0
ninja-standalone,32862,27139,17234,11677,8850,Ful,Jav,Svt,Res,Lin,My,Lin,Ful,Rea,0
nodejs-mongodb,37707,11252,6100,4224,3229,Plt,JS,njs,Non,Lin,Mo,Lin,Ful,Rea,0
nodejs-mongodb-raw,83021,17533,8846,5906,4430,Plt,JS,njs,Non,Lin,Mo,Lin,Raw,Rea,0
nodejs-mysql,82669,31958,17191,11706,8878,Plt,JS,njs,Non,Lin,My,Lin,Ful,Rea,0
nodejs-mysql-raw,70454,15702,7941,5296,3888,Plt,JS,njs,Non,Lin,My,Lin,Raw,Rea,0
onion-raw,55323,14496,7535,5082,3849,Plt,C,Oni,Non,Lin,My,Lin,Raw,Rea,71
openresty,95581,34068,18356,13747,8470,Plt,Lua,OpR,ngx,Lin,My,Lin,Raw,Rea,0
phalcon,— Did not complete —,,,,,,Ful,PHP,FPM,ngx,Lin,Mo,Lin,Ful,Rea
php-phalcon,16934,13644,9571,7232,5764,Ful,PHP,FPM,ngx,Lin,My,Lin,Ful,Rea,0
php-phalcon-micro,68912,29606,16945,11843,6964,Mcr,PHP,FPM,ngx,Lin,My,Lin,Ful,Rea,0
php-raw,130931,32869,12530,7401,5936,Plt,PHP,FPM,ngx,Lin,My,Lin,Raw,Rea,0
php,— Did not complete —,,,,,,Plt,PHP,FPM,ngx,Lin,My,Lin,Ful,Rea
phpixie,15204,11871,9316,7559,6322,Ful,PHP,FPM,ngx,Lin,My,Lin,Ful,Rea,0
phreeze,5709,4244,3990,3638,3107,Mcr,PHP,FPM,ngx,Lin,My,Lin,Mcr,Rea,0
plain-windows,80034,28169,15379,10447,8014,Ful,Sca,Pla,Non,Win,My,Lin,Ful,Rea,0
plain-servlet-linux,117626,36178,19358,13190,10005,Ful,Sca,Pla,Non,Lin,My,Lin,Ful,Rea,0
plain,118468,36178,19237,13104,9920,Ful,Sca,Pla,Non,Lin,My,Lin,Mcr,Rea,0
play1,17083,15879,11247,8327,6607,Ful,Jav,Nty,Non,Lin,My,Lin,Ful,Rea,0
play1-siena,16539,10668,5546,3767,2874,Ful,Jav,Nty,Non,Lin,My,Lin,Ful,Rea,0
play-slick,80121,17478,8721,5789,4322,Ful,Sca,Nty,Non,Lin,My,Lin,Raw,Rea,0
play-java-ebean,71085,30501,17306,12109,9465,Ful,Jav,Nty,Non,Lin,My,Lin,Ful,Rea,0
