Framework,1,5,10,15,20,Cls,Lng,Plt,FE,Aos,DB,Dos,Orm,IA,Errors
play-scala-anorm,15183,3358,1710,1137,851,Ful,Sca,Nty,Non,Lin,My,Lin,Ful,Rea,0
play-scala-anorm,7777,1698,880,553,412,Ful,Sca,Nty,Non,Win,My,Lin,Ful,Rea,197
play-slick,20064,4712,2352,1526,1100,Ful,Sca,Nty,Non,Lin,My,Lin,Raw,Rea,0
pyramid-py3,6372,2740,1615,1139,890,Ful,Py,Wsg,Gun,Lin,Pg,Lin,Ful,Rea,23
pyramid-py2,7016,3084,1846,1320,1048,Ful,Py,Wsg,Gun,Lin,Pg,Lin,Ful,Rea,32
rails-jruby,1173,834,555,416,332,Ful,Rby,JRb,Tor,Lin,My,Lin,Ful,Rea,0
rails-ruby,2552,937,523,365,279,Ful,Rby,Rac,Uni,Lin,My,Lin,Ful,Rea,0
revel-qbs,30681,6631,3356,2238,1690,Ful,Go,Go,Non,Lin,My,Lin,Raw,Rea,0
revel,46729,10525,5283,3520,2654,Ful,Go,Go,Non,Lin,My,Lin,Raw,Rea,0
ringojs-conv,30043,4303,1522,850,514,Mcr,JS,Rin,Jty,Lin,My,Lin,Mcr,Rea,0
ringojs,24604,4943,2451,1642,1222,Plt,JS,Rin,Jty,Lin,My,Lin,Raw,Rea,0
servicestack,— Did not complete —,,,,,,Plt,C#,Mon,ngx,Lin,Mo,Lin,Raw,Rea
servicestack,— Did not complete —,,,,,,Plt,C#,Mon,XSP,Lin,My,Lin,Raw,Rea
servicestack,— Did not complete —,,,,,,Plt,C#,Mon,XSP,Lin,Pg,Lin,Raw,Rea
servicestack,489,501,457,460,454,Plt,C#,Mon,ngx,Lin,My,Lin,Raw,Rea,0
servicestack,— Did not complete —,,,,,,Plt,C#,Mon,ngx,Lin,Pg,Lin,Raw,Rea
servicestack,— Did not complete —,,,,,,Plt,C#,Mon,XSP,Lin,Mo,Lin,Raw,Rea
servlet-raw,23743,4884,2434,1622,1220,Plt,Jav,Svt,Res,Lin,My,Lin,Raw,Rea,0
servlet-postgres-raw,28460,5877,3021,2019,1539,Plt,Jav,Svt,Res,Lin,Pg,Lin,Raw,Rea,0
silex,— Did not complete —,,,,,,Mcr,PHP,FPM,ngx,Lin,My,Lin,Raw,Rea
spring,9242,2209,1100,762,574,Ful,Jav,Svt,Tom,Lin,My,Lin,Ful,Rea,0
start,31639,6696,3351,2238,1681,Mcr,Dar,Dar,ngx,Lin,Pg,Lin,Raw,Rea,0
start,4071,5040,2534,1691,1267,Mcr,Dar,Dar,ngx,Lin,Mo,Lin,Raw,Rea,0
stream,3963,5025,2530,1692,1266,Mcr,Dar,Dar,ngx,Lin,Mo,Lin,Raw,Rea,0
stream,31456,6705,3342,2225,1669,Mcr,Dar,Dar,ngx,Lin,Pg,Lin,Raw,Rea,0
treefrog-thread,33317,6302,3148,1755,1430,Ful,C++,Tre,Non,Lin,My,Lin,Mcr,Rea,0
treefrog,28736,5474,2938,1766,1382,Ful,C++,Tre,Non,Lin,My,Lin,Mcr,Rea,0
undertow,24690,4929,2459,1637,1229,Plt,Jav,Utw,Non,Lin,Mo,Lin,Raw,Rea,0
undertow,25898,6052,3047,2024,1534,Plt,Jav,Utw,Non,Lin,My,Lin,Raw,Rea,0
undertow,30485,5972,3512,2346,1804,Plt,Jav,Utw,Non,Lin,Pg,Lin,Raw,Rea,0
undertow edge,30038,5978,2984,1988,1496,Plt,Jav,Und,Non,Lin,My,Lin,Raw,Rea,0
undertow edge,24670,4935,2459,1633,1227,Plt,Jav,Und,Non,Lin,Mo,Lin,Raw,Rea,0
undertow edge,29436,6141,3386,2332,1804,Plt,Jav,Und,Non,Lin,Pg,Lin,Raw,Rea,0
urweb-postgres,33666,12999,3451,1079,412,Ful,Ur,Ur/,Non,Lin,Pg,Lin,Mcr,Rea,0
urweb-mysql,39333,9003,3255,1426,738,Ful,Ur,Ur/,Non,Lin,My,Lin,Mcr,Rea,0
wicket,468,356,285,237,203,Ful,Jav,Svt,Res,Lin,My,Lin,Ful,Rea,0
