Framework,8,16,32,64,128,256,Best,Cls,Lng,Plt,FE,Aos,DB,Dos,Orm,IA,Errors
activeweb,66868,122695,183555,220022,215415,205164,220022,Plt,Jav,Act,Res,Lin,Non,Lin,Raw,Rea,0
aspnet-jsonnet-mono,— Did not complete —,,,,,,,Plt,C#,Mon,ngx,Lin,Non,Lin,Raw,Rea,—
aspnet-svcstk-mono,— Did not complete —,,,,,,,Plt,C#,Mon,ngx,Lin,Non,Lin,Raw,Rea,—
aspnet-stripped,38734,64118,94368,105272,94483,94748,105272,Ful,C#,Net,IIS,Win,Non,Lin,Raw,Str,0
aspnet-jsonnet,— Did not complete —,,,,,,,Plt,C#,Net,IIS,Win,Non,Lin,Raw,Rea,—
aspnet-svcstk,— Did not complete —,,,,,,,Plt,C#,Net,IIS,Win,Non,Lin,Raw,Rea,—
aspnet-mvc-mono,— Did not complete —,,,,,,,Ful,C#,Mon,ngx,Lin,Non,Lin,Raw,Rea,—
aspnet,— Did not complete —,,,,,,,Ful,C#,Net,IIS,Win,Non,Lin,Raw,Rea,—
beego,86421,142440,196682,207742,287740,297377,297377,Mcr,Go,Go,Non,Lin,Non,Lin,Raw,Rea,0
bottle-pypy,67504,116004,145050,137240,144238,139800,145050,Mcr,Py,Gun,Non,Lin,My,Lin,Ful,Rea,0
bottle-py3,41758,83324,117199,120371,128277,127750,128277,Mcr,Py,Gun,Non,Lin,My,Lin,Ful,Rea,0
bottle-nginx-uwsgi,9261,9217,9053,9131,16560,16361,16560,Mcr,Py,uWS,ngx,Lin,My,Lin,Ful,Rea,0
bottle,46554,96924,141963,149912,159153,158910,159153,Mcr,Py,Gun,Non,Lin,My,Lin,Ful,Rea,0
cake,2081,3750,5032,5057,4641,4436,5057,Ful,PHP,FPM,ngx,Lin,My,Lin,Ful,Rea,0
codeigniter,4406,8588,12795,13600,12727,11512,13600,Ful,PHP,FPM,ngx,Lin,Non,Lin,Raw,Rea,0
compojure,73643,122759,158025,158167,153147,146693,158167,Mcr,Clj,Svt,Res,Lin,My,Lin,Mcr,Rea,0
cowboy,57822,110493,178686,197834,253357,281055,281055,Plt,Erl,Cow,Non,Lin,My,Lin,Raw,Rea,0
cpoll_cppsp,143586,229657,385317,467163,769638,1057793,1057793,Mcr,C++,Cpl,Non,Lin,Non,Lin,Raw,Rea,0
dancer,— Did not complete —,,,,,,,Ful,Prl,Plk,Sta,Lin,Non,Lin,Ful,Rea,—
dart,21110,35653,48175,50927,54896,54349,54896,Plt,Dar,Dar,ngx,Lin,Pg,Lin,Raw,Rea,0
django-py3,9370,12248,9489,9029,8889,8862,12248,Ful,Py,Gun,Non,Lin,My,Lin,Ful,Rea,0
django-postgresql,10623,11971,9756,9444,9120,9090,11971,Ful,Py,Gun,Non,Lin,Pg,Lin,Ful,Rea,0
django,10796,12082,9750,9467,9109,9080,12082,Ful,Py,Gun,Non,Lin,My,Lin,Ful,Rea,0
dropwizard,59083,109038,174112,189934,187665,181079,189934,Ful,Jav,Jty,Jty,Lin,My,Lin,Ful,Rea,0
elli,81036,147335,202525,208224,234625,240704,240704,Plt,Erl,eli,Non,Lin,My,Lin,Raw,Rea,0
