Framework,8,16,32,64,128,256,Best,Cls,Lng,Plt,FE,Aos,DB,Dos,Orm,IA,Errors
phalcon,— Did not complete —,,,,,,,Ful,PHP,FPM,ngx,Lin,Mo,Lin,Ful,Rea,—
php-phalcon-micro,9537,19104,31745,35362,42754,41261,42754,Mcr,PHP,FPM,ngx,Lin,My,Lin,Ful,Rea,0
php-phalcon,5017,9729,15578,16134,16720,16506,16720,Ful,PHP,FPM,ngx,Lin,My,Lin,Ful,Rea,0
php-raw,17250,33044,57757,65980,95179,97508,97508,Plt,PHP,FPM,ngx,Lin,My,Lin,Raw,Rea,0
phpixie,3625,6947,10665,11615,13050,12519,13050,Ful,PHP,FPM,ngx,Lin,My,Lin,Ful,Rea,0
phreeze,1092,2841,2728,2694,3154,4779,4779,Mcr,PHP,FPM,ngx,Lin,My,Lin,Mcr,Rea,0
plain-windows,— Did not complete —,,,,,,,Ful,Sca,Pla,Non,Win,My,Lin,Ful,Rea,—
plain-servlet-linux,19569,31839,28907,28860,29342,27458,31839,Ful,Sca,Pla,Non,Lin,My,Lin,Ful,Rea,0
plain,23120,45037,77183,87286,99626,99184,99626,Ful,Sca,Pla,Non,Lin,My,Lin,Mcr,Rea,0
play-scala-anorm,— Did not complete —,,,,,,,Ful,Sca,Nty,Non,Win,My,Lin,Ful,Rea,—
play-activate-mysql,6021,4618,1736,2443,1689,1909,6021,Ful,Sca,Nty,Non,Lin,My,Lin,Ful,Rea,0
play-scala-anorm,11656,19460,20569,21066,21815,21923,21923,Ful,Sca,Nty,Non,Lin,My,Lin,Ful,Rea,0
play-slick,8391,15278,19212,19419,19616,19389,19616,Ful,Sca,Nty,Non,Lin,My,Lin,Raw,Rea,0
pyramid-py3,2579,4797,6871,7041,8862,8865,8865,Ful,Py,Wsg,Gun,Lin,Pg,Lin,Ful,Rea,0
pyramid-py2,2883,5369,7457,7698,10228,10229,10229,Ful,Py,Wsg,Gun,Lin,Pg,Lin,Ful,Rea,0
rails-jruby,2600,3747,3367,3113,2123,1203,3747,Ful,Rby,JRb,Tor,Lin,My,Lin,Ful,Rea,0
rails-ruby,2592,2729,2725,2699,2688,2671,2729,Ful,Rby,Rac,Uni,Lin,My,Lin,Ful,Rea,0
revel,14883,16192,14854,14869,14834,14788,16192,Ful,Go,Go,Non,Lin,My,Lin,Raw,Rea,0
revel-qbs,14993,19734,18325,18229,18282,18305,19734,Ful,Go,Go,Non,Lin,My,Lin,Raw,Rea,0
ringojs-conv,4516,8202,10796,11170,11895,11428,11895,Mcr,JS,Rin,Jty,Lin,My,Lin,Mcr,Rea,0
